date,event,fighter1,fighter1 - open,fighter1 - 48h,fighter1 - close,fighter2,fighter2 - open,fighter2 - 48h,fighter2 - close,winner
2024-01-21,UFC 297,Gillian Robertson,2024-11-16 23:37:00 - price: -135,2025-01-18 19:12:00 - price: -312,2025-01-20 20:10:00 - price: -307,Polyana Viana,2024-11-16 23:37:00 - price: +114,2025-01-18 18:36:00 - price: +240,2025-01-20 20:10:00 - price: +239,Gillian Robertson
2024-01-20,UFC,Jimmy Flick,2024-11-16 23:37:00 - price: -115,2025-01-18 16:22:00 - price: +175,2025-01-20 18:40:00 - price: +167,Malcolm Gordon,2024-11-16 23:37:00 - price: -105,2025-01-18 16:22:00 - price: -219,2025-01-20 18:40:00 - price: -205,Jimmy Flick
2024-01-13,UFC,Farid Basharat,2024-12-03 18:19:00 - price: -198,2025-01-11 18:32:00 - price: -287,2025-01-13 17:42:00 - price: -303,Taylor Lapilus,2024-12-03 18:19:00 - price: +164,2025-01-11 18:32:00 - price: +226,2025-01-13 17:42:00 - price: +236,Farid Basharat
2024-01-13,UFC,Mario Bautista,2024-12-03 18:15:00 - price: -110,2025-01-11 19:46:00 - price: +152,2025-01-13 20:08:00 - price: +154,Ricky Simon,2024-12-03 18:15:00 - price: -110,2025-01-11 19:46:00 - price: -186,2025-01-13 20:08:00 - price: -189,Mario Bautista
2024-01-13,UFC,Gabriel Benitez,2024-12-03 18:13:00 - price: +100,2025-01-11 21:06:00 - price: +120,2025-01-13 20:40:00 - price: +128,Jim Miller,2024-12-03 18:13:00 - price: -120,2025-01-11 21:06:00 - price: -146,2025-01-13 20:40:00 - price: -156,Jim Miller
2024-01-13,UFC,Gaston Bolanos,2024-12-03 18:49:00 - price: +100,2025-01-11 17:50:00 - price: +196,2025-01-13 18:17:00 - price: +197,Marcus McGhee,2024-12-03 18:49:00 - price: -120,2025-01-11 17:50:00 - price: -244,2025-01-13 18:17:00 - price: -245,Marcus McGhee
2024-01-13,UFC,Nikolas Motta,2024-12-03 18:45:00 - price: +120,2025-01-11 16:46:00 - price: +260,2025-01-13 16:50:00 - price: +285,Tom Nolan,2024-12-03 18:45:00 - price: -142,2025-01-11 16:46:00 - price: -332,2025-01-13 16:50:00 - price: -376,Nikolas Motta
2024-01-13,UFC,Jean Silva,2024-12-17 16:01:00 - price: -800,2025-01-11 16:46:00 - price: -1012,2025-01-13 16:48:00 - price: -994,Westin Wilson,2024-12-17 16:01:00 - price: +550,2025-01-11 16:47:00 - price: +634,2025-01-13 16:48:00 - price: +636,Jean Silva
2024-01-13,UFC,Preston Parsons,2024-12-26 14:30:00 - price: +108,2025-01-11 18:18:00 - price: +104,2025-01-13 18:38:00 - price: -111,Matthew Semelsberger,2024-12-26 14:30:00 - price: -134,2025-01-11 18:18:00 - price: -127,2025-01-13 18:38:00 - price: -110,Preston Parsons
2024-01-13,UFC,Brunno Ferreira,2024-12-03 18:15:00 - price: +180,2025-01-11 21:28:00 - price: -131,2025-01-13 19:46:00 - price: -139,Phil Hawes,2024-12-03 18:15:00 - price: -218,2025-01-11 21:28:00 - price: +108,2025-01-13 19:46:00 - price: +114,Brunno Ferreira
2024-01-13,UFC,Andrei Arlovski,2024-12-03 18:17:00 - price: +120,2025-01-11 18:36:00 - price: +478,2025-01-13 19:18:00 - price: +487,Waldo Cortes-Acosta,2024-12-03 18:17:00 - price: -142,2025-01-11 18:36:00 - price: -692,2025-01-13 19:18:00 - price: -700,Waldo Cortes-Acosta
2024-01-13,UFC,Magomed Ankalaev,2024-11-17 00:13:00 - price: -380,2025-01-11 21:16:00 - price: -557,2025-01-13 21:18:00 - price: -553,Johnny Walker,2024-11-17 00:13:00 - price: +300,2025-01-11 21:16:00 - price: +401,2025-01-13 21:18:00 - price: +398,Magomed Ankalaev
2023-12-17,UFC,Tony Ferguson,2023-09-23 13:02:00 - price: +300,2023-12-15 01:22:00 - price: +245,2023-12-16 23:18:00 - price: +260,Paddy Pimblett,2023-09-23 13:02:00 - price: -380,2023-12-15 01:22:00 - price: -310,2023-12-16 23:18:00 - price: -332,Paddy Pimblett
2023-12-17,UFC,Alexandre Pantoja,2023-09-21 14:01:00 - price: -250,2023-12-14 23:41:00 - price: -195,2023-12-17 00:12:00 - price: -215,Brandon Royval,2023-09-21 14:01:00 - price: +205,2023-12-14 23:41:00 - price: +160,2023-12-17 00:12:00 - price: +176,Alexandre Pantoja
2023-12-17,UFC,Cody Garbrandt,2023-11-12 21:25:00 - price: -148,2023-12-14 20:41:00 - price: -198,2023-12-16 21:04:00 - price: -190,Brian Kelleher,2023-11-12 21:25:00 - price: +124,2023-12-14 20:41:00 - price: +161,2023-12-16 21:04:00 - price: +156,Cody Garbrandt
2023-12-17,UFC,Josh Emmett,2023-12-07 06:54:00 - price: +105,2023-12-14 21:35:00 - price: +180,2023-12-16 22:22:00 - price: +210,Bryce Mitchell,2023-12-07 06:54:00 - price: -138,2023-12-14 21:35:00 - price: -220,2023-12-16 22:22:00 - price: -263,Josh Emmett
2023-12-17,UFC,Lucas Almeida,2023-12-04 08:47:00 - price: +150,2023-12-14 19:01:00 - price: +144,2023-12-16 19:09:00 - price: +143,Andre Fili,2023-12-04 08:47:00 - price: -185,2023-12-14 19:01:00 - price: -176,2023-12-16 19:09:00 - price: -175,Andre Fili
2023-12-17,UFC,Colby Covington,2023-03-19 15:40:00 - price: -190,2023-12-14 21:08:00 - price: +131,2023-12-17 00:48:00 - price: +126,Leon Edwards,2023-03-19 15:40:00 - price: +165,2023-12-14 21:08:00 - price: -159,2023-12-17 00:48:00 - price: -151,Leon Edwards
2023-12-17,UFC,Shavkat Rakhmonov,2023-09-22 16:06:00 - price: -245,2023-12-14 23:19:00 - price: -656,2023-12-16 23:18:00 - price: -657,Stephen Thompson,2023-09-22 16:06:00 - price: +200,2023-12-14 23:19:00 - price: +459,2023-12-16 23:18:00 - price: +459,Shavkat Rakhmonov
2023-12-17,UFC,Cody Durden,2023-11-12 21:21:00 - price: +105,2023-12-14 19:26:00 - price: +140,2023-12-16 21:05:00 - price: +144,Tagir Ulanbekov,2023-11-12 21:21:00 - price: -125,2023-12-14 19:26:00 - price: -170,2023-12-16 21:05:00 - price: -175,Tagir Ulanbekov
2023-12-17,UFC,Irene Aldana,2023-11-12 21:19:00 - price: -130,2023-12-14 21:11:00 - price: -195,2023-12-16 21:06:00 - price: -184,Karol Rosa,2023-11-12 21:19:00 - price: +110,2023-12-14 21:11:00 - price: +159,2023-12-16 21:06:00 - price: +151,Irene Aldana
2023-12-16,UFC,Martin Buday,2023-11-12 21:19:00 - price: -142,2023-12-14 19:42:00 - price: -139,2023-12-16 19:15:00 - price: -123,Shamil Gaziev,2023-11-12 21:19:00 - price: +120,2023-12-14 18:48:00 - price: +115,2023-12-16 19:15:00 - price: +102,Shamil Gaziev
2023-12-10,UFC,Stephanie Egger,2023-11-23 16:21:00 - price: +154,2023-12-07 20:31:00 - price: +129,2023-12-09 20:26:00 - price: +129,Luana Santos,2023-11-23 16:21:00 - price: -185,2023-12-07 20:31:00 - price: -157,2023-12-09 20:26:00 - price: -156,Luana Santos
2023-12-10,UFC,Chris Gutierrez,2023-11-23 16:19:00 - price: +270,2023-12-08 00:15:00 - price: +291,2023-12-10 00:06:00 - price: +289,Song Yadong,2023-11-23 16:19:00 - price: -340,2023-12-08 00:15:00 - price: -376,2023-12-10 00:06:00 - price: -371,Song Yadong
2023-12-10,UFC,Melquizael Costa,2023-12-04 08:37:00 - price: -275,2023-12-07 20:51:00 - price: -264,2023-12-09 20:53:00 - price: -286,Steve Garcia,2023-12-04 08:37:00 - price: +225,2023-12-07 20:51:00 - price: +209,2023-12-09 20:53:00 - price: +246,Steve Garcia
2023-12-03,UFC,Sean Brady,2023-11-03 17:35:00 - price: -110,2023-11-30 20:16:00 - price: -122,2023-12-02 20:20:00 - price: -118,Kelvin Gastelum,2023-11-03 17:35:00 - price: -110,2023-11-30 20:16:00 - price: +101,2023-12-02 20:20:00 - price: -102,Sean Brady
2023-12-03,UFC,Punahele Soriano,2023-11-07 04:19:00 - price: -275,2023-11-30 19:15:00 - price: -300,2023-12-02 19:09:00 - price: -344,Dustin Stoltzfus,2023-11-07 04:19:00 - price: +200,2023-11-30 19:15:00 - price: +234,2023-12-02 19:09:00 - price: +271,Dustin Stoltzfus
2023-12-03,UFC,Clay Guida,2023-11-10 09:16:00 - price: +163,2023-11-30 19:45:00 - price: +252,2023-12-02 19:43:00 - price: +261,Joaquim Silva,2023-11-10 09:16:00 - price: -225,2023-11-30 19:45:00 - price: -331,2023-12-02 19:43:00 - price: -334,Joaquim Silva
2023-12-02,UFC Fight Night,Veronica Hardy,2023-11-10 09:18:00 - price: +130,2023-11-30 16:11:00 - price: +149,2023-12-02 16:13:00 - price: +155,Jamey-Lyn Horth,2023-11-10 09:18:00 - price: -175,2023-11-30 16:11:00 - price: -182,2023-12-02 16:13:00 - price: -192,Veronica Hardy
